Item_ID,Food_Category,Item_Brand,Packaging_Type,Weight_Grams,Item_Price_INR,Estimated_Calories
FOOD-8869,Bakery,Amul,Packet,500.0,593.7091248571774,150.0
FOOD-7439,Vegetables,Amul,Bottle,100.0,608.4651281150093,50.0
FOOD-8892,Vegetables,Amul,Packet,250.0,598.2607077421511,
FOOD-7863,Dairy,Amul,Packet,500.0,25.722133966479323,150.0
FOOD-8916,Vegetables,Britannia,Packet,100.0,740.505839198206,50.0
FOOD-9529,Vegetables,Amul,Bottle,250.0,665.8088339066309,
FOOD-1878,Bakery,Amul,Box,1000.0,226.91773187207212,50.0
FOOD-5887,Vegetables,Amul,Packet,250.0,446.6673688209379,50.0
FOOD-5859,Vegetables,Britannia,Bottle,250.0,495.85468466300205,50.0
FOOD-7331,Vegetables,Britannia,Bottle,500.0,114.23657300183359,150.0
FOOD-9571,Dairy,Catch_Spices,Bottle,500.0,210.6310677171307,50.0
FOOD-9684,Dairy,Amul,Loose_Poly,500.0,28.36784387448012,350.0
FOOD-8208,Bakery,Amul,Packet,99999.0,692.5218588428696,150.0
FOOD-6276,Bakery,Amul,Packet,100.0,29.675005099498346,150.0
FOOD-3062,Dairy,Catch_Spices,Packet,-200.0,0.0,
FOOD-1064,Bakery,Amul,Box,5000.0,71.81472942751626,150.0
FOOD-9006,Vegetables,Britannia,Loose_Poly,1000.0,627.3106816751313,350.0
FOOD-3568,Vegetables,Britannia,Packet,250.0,740.7363907262384,50.0
FOOD-6463,Bakery,Amul,Packet,1000.0,454.62433965605595,50.0
FOOD-3027,Dairy,Amul,Bottle,100.0,120.2577856735741,50.0
FOOD-3695,Snacks,Amul,Box,500.0,450.9470780460202,
FOOD-6258,Dairy,Catch_Spices,Bottle,100.0,618.5695791676161,50.0
FOOD-6618,Bakery,Britannia,Loose_Poly,1000.0,577.5488021287774,
FOOD-7736,Dairy,Britannia,Box,500.0,595.9580146345786,
FOOD-1391,Dairy,Britannia,Box,100.0,230.54733561724734,50.0
FOOD-6892,Dairy,Britannia,Bottle,1000.0,68.25264284155139,150.0
FOOD-4561,Bakery,Britannia,Packet,250.0,127.68127445327565,150.0
FOOD-7184,Dairy,Amul,Box,500.0,764.8501232123631,350.0
FOOD-4099,Snacks,Amul,Bottle,100.0,494.67604980582513,50.0
FOOD-7278,Vegetables,Amul,Packet,1000.0,585.0406886325012,50.0
FOOD-9392,Vegetables,Britannia,Packet,250.0,720.2610275066787,150.0
FOOD-4104,Dairy,Amul,Bottle,250.0,683.6761075755206,150.0
FOOD-8215,Dairy,Britannia,Bottle,250.0,182.53746127810402,
FOOD-3454,Bakery,Amul,Bottle,500.0,55.86743524091542,50.0
FOOD-9996,Vegetables,Catch_Spices,Packet,500.0,740.8512786821323,350.0
FOOD-3731,Bakery,Amul,Bottle,250.0,785.517951183828,
FOOD-9154,Dairy,Amul,Packet,250.0,458.20191287604047,
FOOD-6056,Dairy,Catch_Spices,Bottle,250.0,711.8375127218459,50.0
FOOD-9110,Bakery,Britannia,Bottle,1000.0,193.13467927465513,350.0
FOOD-4840,Vegetables,Catch_Spices,Box,500.0,97.72057662598255,
FOOD-2028,Dairy,Amul,Box,250.0,404.8553805526471,150.0
FOOD-8385,Snacks,Amul,Box,250.0,650.834901392191,
FOOD-1502,Bakery,Britannia,Box,250.0,527.1763623598625,50.0
FOOD-7910,Dairy,Catch_Spices,Bottle,1000.0,513.4829328335746,50.0
FOOD-7938,Dairy,Amul,Packet,,23.792537497881266,
FOOD-5488,Vegetables,Catch_Spices,Bottle,500.0,260.8193849684221,350.0
FOOD-1206,Dairy,Britannia,Bottle,100.0,752.2016713527603,150.0
FOOD-6134,Bakery,Fortune,Bottle,100.0,116.07609621836953,50.0
FOOD-6977,Bakery,Amul,Packet,,583.8290966978518,
FOOD-8721,Vegetables,Amul,Loose_Poly,1000.0,609.8558115083553,50.0
FOOD-8035,Vegetables,Catch_Spices,Packet,1000.0,588.9382621219081,150.0
FOOD-2484,Vegetables,Catch_Spices,Packet,100.0,791.5350663391393,
FOOD-8858,Vegetables,Britannia,Loose_Poly,250.0,333.27448696802054,50.0
FOOD-1863,Vegetables,Amul,Box,100.0,548.9327798451253,50.0
FOOD-3790,Dairy,Amul,Packet,500.0,162.98753957320386,
FOOD-8408,Vegetables,Britannia,Loose_Poly,500.0,325.7708335381595,50.0
FOOD-9755,Vegetables,Amul,Packet,100.0,398.33287592216993,50.0
FOOD-6116,Dairy,Amul,Box,100.0,179.71375746902018,50.0
FOOD-7019,Vegetables,Amul,Bottle,1000.0,726.3804864634992,150.0
FOOD-2757,Vegetables,Fortune,Bottle,500.0,575.7962860692163,350.0
FOOD-8574,Vegetables,Amul,Box,,234.16863679307085,50.0
FOOD-7374,Vegetables,Britannia,Packet,500.0,116.61558704509947,50.0
FOOD-7892,Dairy,Britannia,Packet,1000.0,237.4151894537811,150.0
FOOD-2678,Vegetables,Britannia,Bottle,250.0,502.1584519720367,150.0
FOOD-4242,Bakery,Britannia,Packet,250.0,662.8628242651257,
FOOD-5636,Snacks,Amul,Loose_Poly,250.0,407.50292307357677,
FOOD-2059,Bakery,Britannia,Bottle,500.0,90.97079206856608,150.0
FOOD-7668,Dairy,Fortune,Packet,500.0,206.95874446476128,
FOOD-4157,Bakery,Britannia,Bottle,5000.0,282.66369631774637,50.0
FOOD-6915,Bakery,Catch_Spices,Packet,100.0,512.547640431711,150.0
FOOD-3693,Vegetables,Fortune,Packet,500.0,204.84826653572344,
FOOD-4627,Dairy,Fortune,Bottle,100.0,194.80343019657457,150.0
FOOD-6450,Bakery,Amul,Loose_Poly,100.0,236.09947621074343,150.0
FOOD-2663,Vegetables,Britannia,Bottle,500.0,478.09794511830364,50.0
FOOD-6592,Vegetables,Britannia,Packet,1000.0,399.177924314312,150.0
FOOD-8392,Bakery,Amul,Bottle,100.0,674.8924031089282,
FOOD-2306,Bakery,Britannia,Packet,5000.0,561.3665283865172,150.0
FOOD-7776,Vegetables,Amul,Packet,250.0,536.7892788455011,150.0
FOOD-6864,Dairy,Britannia,Box,250.0,132.17354898364476,50.0
FOOD-8526,Vegetables,Britannia,Loose_Poly,100.0,53.62996090362674,
FOOD-9901,Bakery,Britannia,Packet,500.0,412.8991030018245,50.0
FOOD-6575,Vegetables,Catch_Spices,Bottle,250.0,66.59691564351357,350.0
FOOD-6530,Vegetables,Amul,Loose_Poly,250.0,297.5741535818057,50.0
FOOD-5413,Bakery,Amul,Packet,250.0,30.628755205654993,50.0
FOOD-4748,Dairy,Amul,Packet,500.0,149.67909153758242,350.0
FOOD-1663,Bakery,Catch_Spices,Loose_Poly,250.0,97.19061626448959,50.0
FOOD-2998,Dairy,Britannia,Box,250.0,642.778153140941,50.0
FOOD-8994,Vegetables,Britannia,Packet,1000.0,283.43966052726137,150.0
FOOD-2495,Dairy,Amul,Packet,500.0,72.28874943487733,350.0
FOOD-4304,Vegetables,Britannia,Packet,100.0,219.7293615863466,50.0
FOOD-4763,Dairy,Amul,Bottle,250.0,549.4183879952284,50.0
FOOD-6232,Vegetables,Fortune,Box,500.0,599.0518650161608,350.0
FOOD-2853,Bakery,Fortune,Bottle,100.0,104.69345258112187,
FOOD-7585,Snacks,Fortune,Bottle,500.0,625.0674875478074,
FOOD-2291,Snacks,Fortune,Packet,250.0,302.7417349914917,50.0
FOOD-4581,Dairy,Britannia,Packet,250.0,546.7123084586526,50.0
FOOD-8554,Vegetables,Fortune,Packet,100.0,540.4911535445858,50.0
FOOD-8280,Dairy,Britannia,Box,-200.0,0.0,150.0
FOOD-2636,Bakery,Britannia,Bottle,1000.0,560.7743964441465,
FOOD-4696,Vegetables,Amul,Packet,1000.0,40.70600177127517,150.0
FOOD-1698,Snacks,Amul,Bottle,100.0,420.39007760274313,50.0
FOOD-5737,Vegetables,Britannia,Box,1000.0,141.28312704206775,50.0
FOOD-1854,Snacks,Britannia,Bottle,250.0,776.2719846192252,50.0
FOOD-9164,Bakery,Amul,Packet,500.0,212.1092854237673,150.0
FOOD-6855,Bakery,Fortune,Packet,100.0,341.8848075026863,
FOOD-8392,Vegetables,Amul,Packet,500.0,165.39469990101557,
FOOD-7528,Vegetables,Amul,Box,1000.0,116.32541571619095,350.0
FOOD-6249,Dairy,Fortune,Bottle,100.0,484.7343844769311,700.0
FOOD-6172,Vegetables,Britannia,Box,100.0,399.6119225058013,50.0
FOOD-2707,Vegetables,Fortune,Box,100.0,305.98118994140265,
FOOD-6791,Dairy,Britannia,Loose_Poly,100.0,77.481027499705,150.0
FOOD-6535,Dairy,Catch_Spices,Packet,250.0,591.4078980881686,150.0
FOOD-5931,Dairy,Britannia,Packet,1000.0,14.626475339750936,350.0
FOOD-4510,Dairy,Amul,Bottle,100.0,371.5526547801615,50.0
FOOD-1202,Vegetables,Amul,Packet,500.0,509.731864828314,
FOOD-5218,Snacks,Amul,Box,250.0,350.26156013138404,150.0
FOOD-9958,Vegetables,Catch_Spices,Box,100.0,109.7050972898434,50.0
FOOD-5389,Dairy,Amul,Bottle,250.0,624.8174100861777,150.0
FOOD-3327,Dairy,Amul,Packet,100.0,265.9157223198612,150.0
FOOD-9004,Bakery,Amul,Packet,500.0,116.45688543372711,50.0
FOOD-3931,Vegetables,Fortune,Packet,100.0,444.709993649659,
FOOD-8777,Dairy,Amul,Box,500.0,25.14553047557203,50.0
FOOD-1197,Dairy,Catch_Spices,Packet,100.0,266.0103156885061,50.0
FOOD-8125,Vegetables,Amul,Packet,99999.0,603.0074719787868,50.0
FOOD-2930,Dairy,Amul,Packet,1000.0,731.0419501976978,350.0
FOOD-7287,Snacks,Amul,Loose_Poly,250.0,477.4646929579855,50.0
FOOD-9800,Snacks,Fortune,Bottle,250.0,181.91315246385267,
FOOD-5282,Vegetables,Catch_Spices,Loose_Poly,100.0,183.8001190641757,50.0
FOOD-3511,Vegetables,Amul,Box,500.0,487.0586147277939,
FOOD-1659,Vegetables,Amul,Bottle,250.0,331.34174840259647,
FOOD-3811,Dairy,Fortune,Packet,500.0,150.0387960329638,150.0
FOOD-8098,Vegetables,Amul,Packet,,632.0436613422391,150.0
FOOD-7546,Vegetables,Amul,Bottle,100.0,168.19199883597213,50.0
FOOD-2986,Snacks,Amul,Box,250.0,264.09625937223484,50.0
FOOD-9338,Snacks,Amul,Packet,100.0,58.52925663470236,50.0
FOOD-3911,Vegetables,Amul,Packet,500.0,564.083969351103,
FOOD-2734,Vegetables,Amul,Bottle,100.0,227.46956280569628,50.0
FOOD-2843,Dairy,Amul,Packet,1000.0,193.9649002551895,150.0
FOOD-9680,Vegetables,Fortune,Bottle,500.0,249.65304595758022,150.0
FOOD-3976,Dairy,Amul,Packet,100.0,700.5631210484393,350.0
FOOD-2959,Dairy,Fortune,Packet,250.0,419.2346706735363,150.0
FOOD-6759,Bakery,Amul,Packet,250.0,134.72893659508532,50.0
FOOD-7694,Bakery,Britannia,Bottle,500.0,621.8399009548962,50.0
FOOD-3385,Dairy,Amul,Bottle,250.0,174.6780640472934,
FOOD-5736,Bakery,Fortune,Packet,,335.856157069763,150.0
FOOD-2802,Vegetables,Amul,Box,100.0,458.7798972058108,50.0
FOOD-9155,Dairy,Catch_Spices,Packet,250.0,471.7099026364709,150.0
FOOD-9120,Dairy,Amul,Packet,5000.0,64.53537204074438,50.0
FOOD-7616,Vegetables,Amul,Bottle,1000.0,671.0755484454038,700.0
FOOD-6534,Vegetables,Catch_Spices,Packet,100.0,388.75030035091106,50.0
FOOD-5061,Vegetables,Britannia,Bottle,500.0,791.5159527771352,50.0
FOOD-1262,Snacks,Amul,Loose_Poly,1000.0,576.7795022785979,150.0
FOOD-7287,Vegetables,Catch_Spices,Bottle,,794.1294343842953,50.0
FOOD-9815,Vegetables,Amul,Bottle,500.0,368.24544597143654,150.0
FOOD-3049,Dairy,Amul,Bottle,250.0,121.21731172013563,
FOOD-6423,Bakery,Catch_Spices,Packet,500.0,584.5744078534211,150.0
FOOD-5548,Vegetables,Amul,Bottle,500.0,624.430623161662,
FOOD-4108,Snacks,Catch_Spices,Packet,-200.0,0.0,
FOOD-8158,Bakery,Amul,Loose_Poly,100.0,248.14473022898545,150.0
FOOD-8400,Dairy,Fortune,Packet,500.0,413.4403474511083,50.0
FOOD-4170,Bakery,Britannia,Bottle,100.0,687.4294029547144,
FOOD-3255,Vegetables,Catch_Spices,Loose_Poly,250.0,693.1416269234003,150.0
FOOD-2154,Vegetables,Britannia,Box,5000.0,30.29023601435132,350.0
FOOD-5499,Bakery,Amul,Loose_Poly,500.0,540.0242594022583,
FOOD-7295,Vegetables,Britannia,Bottle,250.0,485.33300616091765,50.0
FOOD-7197,Vegetables,Amul,Packet,500.0,75.83684411535262,150.0
FOOD-2648,Dairy,Fortune,Box,,744.8075028144481,150.0
FOOD-6539,Vegetables,Catch_Spices,Packet,100.0,361.84411213563067,700.0
FOOD-5199,Snacks,Britannia,Packet,500.0,542.6635910006502,50.0
FOOD-9445,Vegetables,Fortune,Box,250.0,707.4102584474614,50.0
FOOD-3557,Bakery,Amul,Bottle,250.0,112.79564598246917,
FOOD-6592,Dairy,Britannia,Box,500.0,686.1160833687399,50.0
FOOD-1098,Bakery,Amul,Loose_Poly,250.0,582.2014474876139,
FOOD-3200,Vegetables,Britannia,Box,,673.2779343461559,
FOOD-3961,Dairy,Amul,Packet,250.0,400.9202070873577,50.0
FOOD-5973,Bakery,Fortune,Bottle,1000.0,36.453034294818195,
FOOD-5433,Dairy,Amul,Box,1000.0,539.7075165313992,150.0
FOOD-3869,Dairy,Britannia,Loose_Poly,250.0,305.88061845193795,150.0
FOOD-1956,Dairy,Amul,Packet,,327.90850914667817,
FOOD-9352,Bakery,Fortune,Packet,500.0,358.5971391900407,150.0
FOOD-6699,Dairy,Amul,Box,500.0,399.39861226763594,350.0
FOOD-7944,Snacks,Britannia,Packet,100.0,532.9280437270901,50.0
FOOD-5493,Vegetables,Amul,Bottle,250.0,584.1527842389808,50.0
FOOD-5911,Dairy,Fortune,Packet,99999.0,623.705406225684,50.0
FOOD-4987,Bakery,Amul,Bottle,250.0,540.5688909701626,
FOOD-7015,Bakery,Fortune,Box,250.0,644.7487417373874,50.0
FOOD-2218,Bakery,Amul,Packet,500.0,106.49787423357489,
FOOD-5496,Snacks,Fortune,Bottle,100.0,671.0859562962933,50.0
FOOD-5735,Dairy,Amul,Packet,100.0,315.95047885597353,50.0
FOOD-5555,Vegetables,Amul,Packet,1000.0,427.7335738535444,50.0
FOOD-9050,Vegetables,Britannia,Packet,100.0,352.68572639095987,50.0
FOOD-4446,Bakery,Amul,Box,250.0,385.8165914824823,50.0
FOOD-2045,Bakery,Amul,Packet,250.0,235.48787124833396,50.0
FOOD-7893,Vegetables,Catch_Spices,Bottle,1000.0,144.26121953174146,50.0
FOOD-2693,Vegetables,Catch_Spices,Bottle,500.0,92.8668391041848,150.0
FOOD-4436,Vegetables,Fortune,Bottle,,366.60508286377325,150.0
FOOD-9754,Bakery,Amul,Bottle,500.0,108.95618727603156,50.0
FOOD-6895,Vegetables,Amul,Bottle,250.0,203.54089331287292,350.0
FOOD-4354,Dairy,Britannia,Packet,250.0,115.55654964467044,150.0
FOOD-1225,Dairy,Amul,Bottle,500.0,96.20577294447898,
FOOD-5893,Bakery,Catch_Spices,Packet,100.0,707.1443067997235,
FOOD-8022,Bakery,Amul,Box,-200.0,0.0,
FOOD-6600,Dairy,Catch_Spices,Box,500.0,739.769698376445,50.0
FOOD-8996,Vegetables,Britannia,Packet,250.0,518.7696050039997,50.0
FOOD-8683,Dairy,Fortune,Bottle,500.0,676.7213089867394,50.0
FOOD-5642,Bakery,Amul,Loose_Poly,100.0,448.6858855230155,150.0
FOOD-8679,Snacks,Catch_Spices,Packet,500.0,375.47774003342766,
FOOD-9208,Vegetables,Amul,Box,,427.4971467926836,50.0
FOOD-8339,Vegetables,Britannia,Packet,250.0,262.9781406366522,50.0
FOOD-3205,Vegetables,Fortune,Bottle,500.0,529.7981888850952,350.0
FOOD-2069,Dairy,Amul,Box,1000.0,718.7681723198373,
FOOD-4444,Bakery,Britannia,Bottle,100.0,628.0592227253543,
FOOD-2060,Vegetables,Britannia,Bottle,250.0,374.98000848245545,
FOOD-3327,Dairy,Amul,Loose_Poly,250.0,763.596077803315,50.0
FOOD-4420,Vegetables,Britannia,Box,250.0,788.4842443533066,50.0
FOOD-1301,Vegetables,Amul,Bottle,100.0,399.54948168685826,150.0
FOOD-1606,Dairy,Amul,Bottle,500.0,693.0654746370972,50.0
FOOD-4170,Vegetables,Britannia,Bottle,100.0,13.768502380718653,
FOOD-1699,Dairy,Britannia,Box,1000.0,62.65791747987203,50.0
FOOD-6088,Bakery,Amul,Loose_Poly,250.0,27.687633053734576,150.0
FOOD-1190,Dairy,Catch_Spices,Box,1000.0,620.7987679046208,50.0
FOOD-1980,Vegetables,Catch_Spices,Box,100.0,73.02549804015558,150.0
FOOD-3975,Snacks,Britannia,Packet,1000.0,23.469931390701056,50.0
FOOD-7102,Dairy,Britannia,Box,100.0,126.46083095065504,50.0
FOOD-2184,Bakery,Amul,Box,500.0,251.97288512584947,150.0
FOOD-4327,Vegetables,Fortune,Box,250.0,377.11353869899096,
FOOD-4394,Vegetables,Britannia,Packet,250.0,61.66859492573252,
FOOD-9319,Vegetables,Amul,Loose_Poly,100.0,404.1959645052296,
FOOD-2816,Vegetables,Britannia,Packet,,205.9685542252343,
FOOD-6854,Dairy,Amul,Packet,500.0,226.7534811271216,50.0
FOOD-7709,Snacks,Amul,Bottle,250.0,659.3027788018118,50.0
FOOD-1569,Dairy,Britannia,Bottle,500.0,789.6696250813472,50.0
FOOD-6442,Vegetables,Britannia,Packet,100.0,376.45258311667794,50.0
FOOD-2895,Dairy,Britannia,Box,100.0,264.1988491720522,50.0
FOOD-3733,Vegetables,Britannia,Packet,1000.0,745.8440591660593,
FOOD-4863,Dairy,Catch_Spices,Packet,500.0,405.35427270839,150.0
FOOD-8455,Dairy,Britannia,Packet,250.0,586.9793212327698,50.0
FOOD-5014,Bakery,Britannia,Box,500.0,336.8546244583082,150.0
FOOD-2686,Snacks,Amul,Packet,1000.0,170.013376349946,50.0
FOOD-4009,Vegetables,Amul,Packet,1000.0,527.3592389284244,50.0
FOOD-8806,Dairy,Amul,Bottle,,535.2256931340087,150.0
FOOD-1154,Snacks,Britannia,Bottle,1000.0,373.545241562371,50.0
FOOD-2409,Bakery,Fortune,Box,250.0,223.2602117138607,50.0
FOOD-1784,Dairy,Amul,Box,500.0,667.1326587295715,50.0
FOOD-9096,Snacks,Amul,Box,250.0,227.5013182646061,50.0
FOOD-8560,Vegetables,Amul,Packet,500.0,530.6289491507658,50.0
FOOD-8343,Snacks,Amul,Bottle,500.0,313.34864287523044,50.0
FOOD-8206,Vegetables,Catch_Spices,Bottle,250.0,383.25973557080624,50.0
FOOD-6596,Dairy,Britannia,Packet,250.0,177.0081025853729,150.0
FOOD-6801,Bakery,Amul,Packet,500.0,523.0891569286986,
FOOD-3806,Vegetables,Fortune,Bottle,250.0,188.40240855915602,
FOOD-1537,Dairy,Fortune,Packet,,393.7140968200148,350.0
FOOD-6986,Vegetables,Britannia,Loose_Poly,,269.4829205856613,
FOOD-2841,Snacks,Amul,Box,500.0,771.2485288998511,50.0
FOOD-9716,Bakery,Britannia,Packet,1000.0,785.9546657559025,150.0
FOOD-7971,Bakery,Amul,Packet,500.0,605.2581327970545,
FOOD-6625,Dairy,Fortune,Loose_Poly,250.0,787.2948209352701,350.0
FOOD-3950,Bakery,Britannia,Packet,250.0,99.70500781811309,
FOOD-8992,Dairy,Britannia,Box,100.0,793.9364766706249,
FOOD-5780,Dairy,Amul,Bottle,-200.0,0.0,
FOOD-3368,Bakery,Amul,Box,100.0,338.2069012064792,50.0
FOOD-7655,Dairy,Amul,Box,250.0,198.7685804220184,350.0
FOOD-9173,Vegetables,Catch_Spices,Packet,500.0,763.538311090101,150.0
FOOD-5495,Vegetables,Amul,Packet,1000.0,512.2740484913218,150.0
FOOD-7002,Vegetables,Amul,Bottle,100.0,481.730751720519,
FOOD-7614,Bakery,Catch_Spices,Loose_Poly,250.0,797.976418860988,150.0
FOOD-6919,Dairy,Britannia,Packet,250.0,493.8166220736956,150.0
FOOD-1853,Bakery,Fortune,Bottle,500.0,520.4663059394668,50.0
FOOD-5146,Dairy,Amul,Packet,100.0,45.37169644443963,150.0
FOOD-4769,Vegetables,Britannia,Box,500.0,688.6499756064945,150.0
FOOD-1574,Vegetables,Amul,Box,250.0,776.3706510762779,150.0
FOOD-2148,Bakery,Fortune,Packet,1000.0,768.6458089137124,
FOOD-7293,Dairy,Amul,Packet,100.0,184.67343153507434,700.0
FOOD-7457,Snacks,Britannia,Packet,100.0,188.4731217364257,
FOOD-8509,Bakery,Fortune,Bottle,500.0,299.1772289184108,150.0
FOOD-5777,Dairy,Britannia,Bottle,500.0,255.06595602487786,
FOOD-4854,Dairy,Britannia,Packet,500.0,251.4355714440215,350.0
FOOD-3491,Snacks,Amul,Loose_Poly,500.0,488.1212065367221,50.0
FOOD-4124,Bakery,Amul,Bottle,100.0,646.4303254011903,50.0
FOOD-6691,Vegetables,Britannia,Box,100.0,750.046846932934,
FOOD-4051,Dairy,Britannia,Packet,100.0,63.60977807609256,50.0
FOOD-1004,Bakery,Catch_Spices,Packet,1000.0,229.60299634345094,350.0
FOOD-6222,Bakery,Fortune,Bottle,250.0,211.46088101993442,350.0
FOOD-6315,Vegetables,Britannia,Bottle,100.0,292.37733422333133,
FOOD-5869,Bakery,Catch_Spices,Bottle,100.0,345.22406786051107,50.0
FOOD-1876,Snacks,Amul,Box,1000.0,317.4454626453871,50.0
FOOD-8027,Vegetables,Britannia,Bottle,1000.0,762.196295411148,50.0
FOOD-5142,Bakery,Amul,Packet,1000.0,355.3319543066648,150.0
FOOD-7966,Vegetables,Amul,Loose_Poly,250.0,445.7581311570378,150.0
FOOD-8079,Vegetables,Fortune,Bottle,500.0,601.4202915838662,50.0
FOOD-8987,Vegetables,Britannia,Packet,100.0,582.816989619352,50.0
FOOD-7799,Vegetables,Britannia,Packet,100.0,470.5420076887093,150.0
FOOD-5465,Bakery,Britannia,Box,,690.05729856436,
FOOD-1635,Vegetables,Britannia,Box,100.0,503.103234063254,
FOOD-2693,Vegetables,Amul,Packet,500.0,701.0594894369935,
FOOD-5752,Vegetables,Britannia,Packet,1000.0,249.18494296017798,
FOOD-9311,Vegetables,Britannia,Box,100.0,114.29870476153513,50.0
FOOD-1830,Vegetables,Fortune,Loose_Poly,1000.0,657.4211606739227,350.0
FOOD-6177,Bakery,Amul,Packet,250.0,312.1891473001784,
FOOD-9932,Vegetables,Amul,Box,250.0,524.3568115965797,150.0
FOOD-9308,Bakery,Britannia,Packet,250.0,592.4758452109787,50.0
FOOD-6949,Bakery,Fortune,Packet,250.0,268.1012755875267,150.0
FOOD-3838,Vegetables,Britannia,Packet,100.0,409.07907697033085,
