Account_ID,Internal_Risk_Grade,Loan_Purpose,Customer_Debt_To_Income_Ratio,Loan_Default_Status,Requested_Amount_Raw
ACC-792412,Class-B,Debt Consolidation,55.0,0," $38,785.00 "
ACC-958612,Class-A,Major Purchase,55.0,0," $26,209.00 "
ACC-278755,,Home Improvement,,0," $16,860.00 "
ACC-740019,,Debt Consolidation,,0," $29,323.00 "
ACC-487586,Class-B,Small Business,24.8,0," $15,973.00 "
ACC-670969,Class-B,Home Improvement,12.5,1," $38,280.00 "
ACC-930533,Class-B,Major Purchase,24.8,0," $8,408.00 "
ACC-999383,Class-B,Small Business,24.8,0," $10,024.00 "
ACC-210501,,Home Improvement,,0," $33,832.00 "
ACC-982958,Class-A,Home Improvement,38.2,0," $25,915.00 "
ACC-787463,Class-B,Debt Consolidation,24.8,0," $35,635.00 "
ACC-305164,Class-B,Small Business,12.5,0," $34,208.00 "
ACC-157593,Class-B,Debt Consolidation,99.9,0," $25,718.00 "
ACC-392055,Class-A,Debt Consolidation,12.5,0," $20,826.00 "
ACC-400464,Class-A,Debt Consolidation,12.5,1," $32,790.00 "
ACC-131427,Class-A,Small Business,38.2,0," $19,593.00 "
ACC-287425,Class-A,Debt Consolidation,24.8,0," $5,142.00 "
ACC-857989,Class-A,Home Improvement,12.5,0," $37,352.00 "
ACC-783003,Class-A,Debt Consolidation,12.5,0," $7,792.00 "
ACC-973181,Class-C,Home Improvement,38.2,0," $16,606.00 "
ACC-553009,Class-C,Debt Consolidation,12.5,0," $27,054.00 "
ACC-143426,Class-B,Home Improvement,38.2,0," $35,204.00 "
ACC-715693,Class-C,Home Improvement,12.5,0," $38,279.00 "
ACC-122230,Class-B,Debt Consolidation,12.5,0," $35,207.00 "
ACC-460817,,Debt Consolidation,,0," $14,173.00 "
ACC-448245,Class-C,Debt Consolidation,99.9,0," $40,537.00 "
ACC-202819,,Small Business,,0," $7,363.00 "
ACC-592883,,Small Business,,0," $23,929.00 "
ACC-666536,Class-C,Debt Consolidation,38.2,0," $41,432.00 "
ACC-989379,Class-B,Debt Consolidation,24.8,0," $20,683.00 "
ACC-651265,Class-A,Major Purchase,24.8,0," $36,311.00 "
ACC-227886,Class-C,Home Improvement,12.5,0," $24,207.00 "
ACC-983750,Class-A,Debt Consolidation,38.2,0," $16,094.00 "
ACC-941308,Class-B,Debt Consolidation,38.2,0," $34,157.00 "
ACC-546486,Class-A,Debt Consolidation,55.0,0," $44,638.00 "
ACC-170140,Class-B,Small Business,55.0,0," $36,636.00 "
ACC-969474,Class-B,Home Improvement,12.5,0," $13,428.00 "
ACC-387488,,Debt Consolidation,,0," $15,693.00 "
ACC-419670,Class-C,Major Purchase,24.8,0," $38,462.00 "
ACC-142486,Class-B,N/A,55.0,0," $15,845.00 "
ACC-767260,Class-A,Debt Consolidation,,0," $29,437.00 "
ACC-721600,Class-B,Major Purchase,24.8,0," $12,536.00 "
ACC-659724,Class-B,Debt Consolidation,12.5,0," $21,397.00 "
ACC-218655,Class-C,N/A,99.9,0," $9,682.00 "
ACC-748520,Class-A,Debt Consolidation,24.8,0," $10,482.00 "
ACC-528304,Class-C,Major Purchase,24.8,1," $38,578.00 "
ACC-789625,Class-C,Debt Consolidation,24.8,0," $22,148.00 "
ACC-889974,Class-B,Home Improvement,12.5,0," $18,974.00 "
ACC-462585,Class-B,Small Business,99.9,0," $26,778.00 "
ACC-465665,UNKNOWN,Home Improvement,24.8,0," $41,317.00 "
ACC-447972,Class-A,Debt Consolidation,55.0,0," $5,787.00 "
ACC-952543,Class-B,Major Purchase,38.2,0," $44,547.00 "
ACC-915313,Class-A,Debt Consolidation,12.5,0," $33,180.00 "
ACC-313370,Class-C,Debt Consolidation,12.5,0," $12,812.00 "
ACC-921567,Class-B,Small Business,38.2,0," $24,773.00 "
ACC-100316,Class-C,Small Business,12.5,0," $22,192.00 "
ACC-521310,Class-B,Debt Consolidation,12.5,0," $17,590.00 "
ACC-491285,Class-A,Small Business,12.5,0," $6,320.00 "
ACC-203987,Class-B,Debt Consolidation,24.8,0," $40,789.00 "
ACC-262523,Class-A,Debt Consolidation,24.8,0," $34,929.00 "
ACC-305002,,Major Purchase,,0," $20,150.00 "
ACC-218153,Class-A,Major Purchase,24.8,0," $16,511.00 "
ACC-493175,Class-C,Small Business,,0," $17,328.00 "
ACC-288832,Class-A,Debt Consolidation,24.8,0," $41,668.00 "
ACC-829831,Class-B,Small Business,12.5,0," $43,268.00 "
ACC-583264,Class-C,Small Business,12.5,0," $44,007.00 "
ACC-775802,Class-A,Debt Consolidation,12.5,0," $18,131.00 "
ACC-607451,Class-C,Debt Consolidation,12.5,0," $6,410.00 "
ACC-303431,,Debt Consolidation,,1," $9,084.00 "
ACC-867813,Class-A,Home Improvement,38.2,0," $13,226.00 "
ACC-356635,Class-A,Debt Consolidation,55.0,0," $26,335.00 "
ACC-935440,Class-A,Small Business,24.8,0," $9,649.00 "
ACC-464978,Class-A,Home Improvement,,1," $27,992.00 "
ACC-145510,Class-B,Home Improvement,38.2,0," $7,165.00 "
ACC-283995,Class-B,Home Improvement,12.5,0," $23,803.00 "
ACC-195082,,Home Improvement,,0," $7,471.00 "
ACC-554920,Class-C,Home Improvement,55.0,0," $25,147.00 "
ACC-744761,Class-B,Small Business,24.8,0," $39,051.00 "
ACC-758908,Class-A,Debt Consolidation,12.5,0," $19,237.00 "
ACC-658816,UNKNOWN,Major Purchase,38.2,0," $37,921.00 "
ACC-172384,Class-B,Home Improvement,24.8,0," $24,652.00 "
ACC-415302,Class-B,Home Improvement,12.5,0," $31,218.00 "
ACC-373649,Class-A,Major Purchase,-1.5,0," $41,324.00 "
ACC-984119,Class-B,Debt Consolidation,12.5,0," $28,325.00 "
ACC-796617,Class-A,Debt Consolidation,24.8,0," $9,512.00 "
ACC-158830,Class-A,Debt Consolidation,12.5,0," $18,245.00 "
ACC-780052,Class-C,Small Business,55.0,0," $33,025.00 "
ACC-720479,Class-A,N/A,38.2,0," $33,809.00 "
ACC-662140,Class-A,Small Business,-1.5,1," $6,191.00 "
ACC-237283,Class-B,Small Business,38.2,0," $22,253.00 "
ACC-101421,Class-A,Debt Consolidation,,0," $14,311.00 "
ACC-472661,,Debt Consolidation,,0," $10,853.00 "
ACC-648564,Class-C,Small Business,38.2,0," $12,248.00 "
ACC-932179,Class-B,Small Business,12.5,1," $41,921.00 "
ACC-159364,Class-A,Small Business,12.5,1," $18,350.00 "
ACC-109810,Class-A,Home Improvement,55.0,0," $28,709.00 "
ACC-580385,Class-A,Major Purchase,38.2,0," $27,394.00 "
ACC-701718,Class-B,Debt Consolidation,12.5,0," $38,874.00 "
ACC-688569,Class-A,Home Improvement,24.8,0," $31,915.00 "
ACC-558172,Class-B,Major Purchase,24.8,0," $43,547.00 "
ACC-889325,Class-A,Debt Consolidation,,0," $23,139.00 "
ACC-836608,,Home Improvement,,0," $42,786.00 "
ACC-137131,Class-C,Debt Consolidation,24.8,0," $16,244.00 "
ACC-133512,Class-C,Debt Consolidation,55.0,0," $35,030.00 "
ACC-853220,Class-A,Debt Consolidation,99.9,0," $19,254.00 "
ACC-550788,Class-B,Home Improvement,24.8,0," $9,415.00 "
ACC-486846,Class-A,Debt Consolidation,12.5,0," $14,835.00 "
ACC-288321,Class-B,Home Improvement,12.5,0," $7,632.00 "
ACC-238463,Class-C,Debt Consolidation,55.0,0," $37,166.00 "
ACC-795537,Class-B,Debt Consolidation,12.5,0," $10,962.00 "
ACC-416024,Class-C,N/A,38.2,0," $8,628.00 "
ACC-978815,Class-C,Debt Consolidation,12.5,0," $25,435.00 "
ACC-509613,Class-C,Home Improvement,24.8,0," $6,513.00 "
ACC-261862,UNKNOWN,Home Improvement,12.5,0," $42,143.00 "
ACC-244350,Class-B,Major Purchase,38.2,0," $10,126.00 "
ACC-692038,Class-A,Debt Consolidation,12.5,0," $39,218.00 "
ACC-515340,UNKNOWN,N/A,99.9,0," $29,462.00 "
ACC-586582,Class-B,Home Improvement,55.0,1," $37,838.00 "
ACC-630953,Class-A,Home Improvement,24.8,0," $41,493.00 "
ACC-929338,Class-A,Major Purchase,24.8,0," $14,822.00 "
ACC-594696,Class-A,Home Improvement,24.8,0," $12,103.00 "
ACC-440365,Class-B,Debt Consolidation,55.0,0," $22,738.00 "
ACC-545782,Class-B,Home Improvement,12.5,0," $24,388.00 "
ACC-159460,Class-C,Home Improvement,38.2,0," $43,598.00 "
ACC-209908,Class-B,Home Improvement,38.2,0," $38,564.00 "
ACC-317037,Class-A,Home Improvement,12.5,0," $37,934.00 "
ACC-516215,Class-C,Home Improvement,12.5,0," $19,252.00 "
ACC-553523,Class-A,Home Improvement,24.8,0," $15,933.00 "
ACC-426091,Class-B,Debt Consolidation,55.0,0," $38,706.00 "
ACC-994610,Class-C,Home Improvement,12.5,0," $20,581.00 "
ACC-948621,UNKNOWN,Debt Consolidation,38.2,1," $29,607.00 "
ACC-182105,Class-C,Debt Consolidation,24.8,0," $33,697.00 "
ACC-708857,UNKNOWN,Debt Consolidation,38.2,0," $12,893.00 "
ACC-306623,Class-C,Debt Consolidation,12.5,0," $35,562.00 "
ACC-903266,Class-B,Debt Consolidation,99.9,0," $40,176.00 "
ACC-294260,,Debt Consolidation,,1," $24,923.00 "
ACC-648697,Class-B,Debt Consolidation,38.2,0," $31,472.00 "
ACC-643387,Class-B,Debt Consolidation,12.5,0," $40,453.00 "
ACC-580758,Class-A,N/A,12.5,0," $19,143.00 "
ACC-922000,Class-A,Debt Consolidation,38.2,0," $15,496.00 "
ACC-344446,Class-B,Home Improvement,38.2,0," $36,207.00 "
ACC-548461,Class-B,N/A,38.2,0," $36,888.00 "
ACC-872397,Class-A,Home Improvement,12.5,1," $6,922.00 "
ACC-247345,Class-A,Home Improvement,55.0,0," $29,089.00 "
ACC-124807,Class-B,N/A,12.5,0," $41,118.00 "
ACC-291664,Class-B,Home Improvement,38.2,0," $37,462.00 "
ACC-127955,Class-A,Major Purchase,12.5,0," $10,906.00 "
ACC-444750,Class-B,Debt Consolidation,55.0,0," $29,650.00 "
ACC-435757,Class-B,Debt Consolidation,12.5,0," $11,982.00 "
ACC-462215,Class-A,N/A,38.2,0," $10,011.00 "
ACC-831028,Class-B,Major Purchase,38.2,0," $36,037.00 "
ACC-959471,Class-A,Major Purchase,38.2,1," $17,967.00 "
ACC-934048,Class-A,Major Purchase,38.2,0," $26,203.00 "
ACC-105348,Class-A,Small Business,24.8,0," $23,742.00 "
ACC-379399,UNKNOWN,Debt Consolidation,24.8,0," $13,301.00 "
ACC-957871,Class-A,Home Improvement,,0," $11,729.00 "
ACC-115736,Class-B,Debt Consolidation,12.5,0," $22,011.00 "
ACC-445383,Class-A,Home Improvement,12.5,0," $25,399.00 "
ACC-596011,Class-B,Debt Consolidation,55.0,0," $29,553.00 "
ACC-863542,Class-C,Small Business,12.5,1," $12,286.00 "
ACC-116142,Class-B,Debt Consolidation,38.2,0," $41,311.00 "
ACC-979736,Class-A,Major Purchase,12.5,0," $24,437.00 "
ACC-689909,Class-A,Major Purchase,38.2,0," $36,657.00 "
ACC-208041,Class-C,Debt Consolidation,,0," $39,656.00 "
ACC-693635,Class-C,Home Improvement,38.2,1," $13,566.00 "
ACC-337011,Class-B,Home Improvement,,0," $27,423.00 "
ACC-629518,Class-B,Major Purchase,12.5,0," $6,312.00 "
ACC-992008,Class-A,Small Business,55.0,1," $14,932.00 "
ACC-199294,Class-B,N/A,38.2,0," $13,389.00 "
ACC-273878,Class-A,Debt Consolidation,24.8,0," $21,307.00 "
ACC-955065,Class-C,Debt Consolidation,12.5,0," $36,244.00 "
ACC-610260,Class-A,Debt Consolidation,12.5,0," $38,899.00 "
ACC-725612,Class-A,Home Improvement,12.5,1," $32,020.00 "
ACC-314109,Class-A,Home Improvement,,0," $37,784.00 "
ACC-605493,Class-B,N/A,12.5,1," $32,819.00 "
ACC-747377,Class-A,Home Improvement,12.5,0," $41,104.00 "
ACC-509864,Class-B,Debt Consolidation,38.2,0," $42,393.00 "
ACC-758295,Class-B,N/A,24.8,0," $21,888.00 "
ACC-316655,Class-A,Debt Consolidation,24.8,0," $22,411.00 "
ACC-726864,Class-A,Home Improvement,24.8,0," $38,947.00 "
ACC-570233,Class-A,Debt Consolidation,24.8,1," $19,337.00 "
ACC-914611,,Debt Consolidation,,0," $20,718.00 "
ACC-155588,Class-A,Debt Consolidation,38.2,0," $28,424.00 "
ACC-750829,,Debt Consolidation,,0," $24,176.00 "
ACC-328515,Class-A,Major Purchase,12.5,0," $9,739.00 "
ACC-183757,Class-A,Small Business,,0," $19,856.00 "
ACC-376845,Class-C,Home Improvement,12.5,0," $13,618.00 "
ACC-596974,Class-A,Major Purchase,24.8,0," $26,561.00 "
ACC-430930,Class-A,Debt Consolidation,12.5,1," $32,890.00 "
ACC-386234,Class-A,Debt Consolidation,,0," $17,360.00 "
ACC-678867,Class-C,Debt Consolidation,12.5,0," $35,044.00 "
ACC-389801,Class-B,Small Business,38.2,1," $16,771.00 "
ACC-580626,Class-B,Home Improvement,38.2,0," $15,026.00 "
ACC-504246,Class-B,Home Improvement,55.0,0," $23,622.00 "
ACC-351741,Class-A,Small Business,24.8,0," $22,171.00 "
ACC-604687,Class-A,Home Improvement,24.8,1," $21,644.00 "
ACC-926079,Class-B,Small Business,12.5,0," $5,000.00 "
ACC-941225,Class-A,Home Improvement,24.8,0," $33,523.00 "
ACC-600905,Class-A,Debt Consolidation,12.5,0," $42,838.00 "
ACC-236321,Class-C,Home Improvement,12.5,0," $16,988.00 "
ACC-741847,Class-B,Debt Consolidation,,0," $33,120.00 "
ACC-663265,UNKNOWN,Small Business,38.2,0," $42,670.00 "
ACC-583654,Class-B,Home Improvement,38.2,0," $42,141.00 "
ACC-182374,Class-B,Debt Consolidation,55.0,0," $34,491.00 "
ACC-346782,UNKNOWN,Small Business,12.5,0," $23,655.00 "
ACC-277353,Class-A,Home Improvement,24.8,0," $5,445.00 "
ACC-520356,Class-B,Debt Consolidation,24.8,0," $44,431.00 "
ACC-192138,UNKNOWN,Home Improvement,,0," $30,494.00 "
ACC-445268,Class-C,Small Business,24.8,0," $30,213.00 "
ACC-629749,Class-B,Major Purchase,12.5,0," $22,420.00 "
ACC-517420,Class-A,Debt Consolidation,55.0,0," $12,924.00 "
ACC-266821,Class-C,Debt Consolidation,38.2,0," $10,849.00 "
ACC-307303,Class-B,Debt Consolidation,12.5,0," $25,823.00 "
ACC-926225,Class-A,Debt Consolidation,24.8,0," $13,572.00 "
ACC-924784,Class-C,Debt Consolidation,12.5,0," $39,325.00 "
ACC-352469,Class-C,Debt Consolidation,38.2,1," $30,934.00 "
ACC-458836,Class-B,Home Improvement,38.2,0," $23,769.00 "
ACC-697386,Class-B,Home Improvement,38.2,0," $30,961.00 "
ACC-636107,Class-A,Debt Consolidation,24.8,0," $26,690.00 "
ACC-719417,Class-A,Home Improvement,24.8,0," $10,588.00 "
ACC-154138,Class-B,Debt Consolidation,38.2,0," $16,521.00 "
ACC-454801,Class-A,Small Business,24.8,0," $26,153.00 "
ACC-545486,Class-C,Major Purchase,,0," $37,653.00 "
ACC-131725,Class-B,Small Business,12.5,0," $25,613.00 "
ACC-211904,Class-A,Home Improvement,,0," $14,293.00 "
ACC-925481,,Small Business,,0," $27,488.00 "
ACC-369052,Class-A,N/A,24.8,0," $29,566.00 "
ACC-802683,Class-A,Home Improvement,12.5,0," $37,414.00 "
ACC-875538,Class-A,Debt Consolidation,55.0,0," $6,771.00 "
ACC-238099,Class-B,Home Improvement,12.5,0," $37,568.00 "
ACC-588046,Class-B,Debt Consolidation,12.5,0," $36,112.00 "
ACC-433630,Class-C,Debt Consolidation,55.0,1," $12,002.00 "
ACC-587968,Class-A,Debt Consolidation,38.2,0," $25,068.00 "
ACC-332959,Class-A,Home Improvement,24.8,0," $23,730.00 "
ACC-551048,Class-C,Small Business,24.8,0," $12,534.00 "
ACC-579796,Class-B,Small Business,24.8,0," $38,178.00 "
ACC-794872,Class-B,Debt Consolidation,55.0,0," $16,742.00 "
ACC-334234,Class-A,Major Purchase,38.2,0," $22,270.00 "
ACC-175426,Class-A,Major Purchase,12.5,1," $21,162.00 "
ACC-704090,Class-B,Home Improvement,,0," $33,041.00 "
ACC-358052,,Major Purchase,,0," $10,896.00 "
ACC-234043,Class-A,Debt Consolidation,,0," $39,697.00 "
ACC-646552,Class-A,Debt Consolidation,38.2,0," $30,554.00 "
ACC-342491,Class-B,Home Improvement,55.0,0," $38,379.00 "
ACC-819629,Class-B,Small Business,55.0,0," $23,979.00 "
ACC-211550,Class-A,Debt Consolidation,,0," $6,459.00 "
ACC-942221,Class-A,Debt Consolidation,38.2,1," $43,323.00 "
ACC-105678,Class-A,Home Improvement,12.5,0," $28,214.00 "
ACC-387608,Class-B,Home Improvement,24.8,0," $17,600.00 "
ACC-197814,Class-B,Debt Consolidation,38.2,0," $17,325.00 "
ACC-218062,Class-B,Debt Consolidation,,0," $38,261.00 "
ACC-637489,Class-A,Home Improvement,12.5,0," $7,050.00 "
ACC-468365,Class-C,Debt Consolidation,12.5,0," $24,411.00 "
ACC-868299,Class-B,Small Business,24.8,1," $6,941.00 "
ACC-750488,Class-C,Debt Consolidation,38.2,0," $34,858.00 "
ACC-249277,Class-B,Debt Consolidation,38.2,1," $43,556.00 "
ACC-777682,Class-A,Home Improvement,38.2,1," $37,100.00 "
ACC-386282,Class-B,Debt Consolidation,12.5,0," $28,108.00 "
ACC-175169,Class-B,Home Improvement,24.8,0," $19,177.00 "
ACC-589565,Class-B,Debt Consolidation,38.2,0," $37,246.00 "
ACC-872469,Class-B,Debt Consolidation,,0," $13,557.00 "
ACC-972274,Class-B,Debt Consolidation,55.0,0," $10,051.00 "
ACC-260700,Class-A,Home Improvement,24.8,0," $18,476.00 "
ACC-630982,Class-A,Debt Consolidation,38.2,0," $41,365.00 "
ACC-653536,Class-A,Debt Consolidation,38.2,0," $11,856.00 "
ACC-576059,Class-C,Debt Consolidation,12.5,0," $38,091.00 "
ACC-793525,Class-C,Debt Consolidation,12.5,1," $35,040.00 "
ACC-638794,Class-A,Small Business,24.8,0," $39,967.00 "
ACC-986377,Class-B,Home Improvement,38.2,0," $38,062.00 "
ACC-942300,Class-A,Small Business,12.5,0," $24,177.00 "
ACC-529434,,N/A,,1," $34,699.00 "
ACC-850673,Class-B,Debt Consolidation,38.2,0," $42,680.00 "
ACC-469727,Class-A,Home Improvement,12.5,0," $35,337.00 "
ACC-773646,Class-A,Small Business,12.5,0," $24,196.00 "
ACC-370574,Class-B,Debt Consolidation,38.2,0," $13,391.00 "
ACC-241715,Class-B,N/A,24.8,0," $43,710.00 "
ACC-547274,Class-B,Home Improvement,38.2,0," $5,138.00 "
ACC-269797,,Debt Consolidation,,1," $43,249.00 "
ACC-615859,Class-B,Debt Consolidation,24.8,1," $32,287.00 "
ACC-649466,Class-A,Debt Consolidation,55.0,1," $5,925.00 "
ACC-457031,Class-A,Small Business,55.0,0," $8,090.00 "
ACC-985354,Class-B,Debt Consolidation,38.2,0," $25,120.00 "
ACC-158049,Class-B,Small Business,99.9,0," $20,742.00 "
ACC-230454,UNKNOWN,Debt Consolidation,38.2,0," $13,536.00 "
ACC-685693,Class-C,Home Improvement,,0," $33,614.00 "
ACC-464154,Class-A,Debt Consolidation,55.0,0," $33,636.00 "
ACC-532833,Class-C,Home Improvement,38.2,0," $9,376.00 "
ACC-596152,Class-B,Home Improvement,12.5,0," $17,527.00 "
ACC-902427,Class-A,Debt Consolidation,55.0,0," $34,223.00 "
ACC-385193,Class-C,Small Business,38.2,0," $29,081.00 "
ACC-229862,Class-B,Small Business,99.9,0," $38,032.00 "
ACC-595709,Class-B,Debt Consolidation,38.2,0," $8,378.00 "
ACC-491231,Class-A,Home Improvement,24.8,0," $38,443.00 "
ACC-468616,Class-A,Home Improvement,99.9,1," $6,143.00 "
ACC-935380,UNKNOWN,Debt Consolidation,12.5,0," $22,111.00 "
ACC-927867,Class-B,Debt Consolidation,12.5,0," $32,924.00 "
ACC-868067,Class-A,Small Business,55.0,1," $5,493.00 "
ACC-673397,Class-B,Debt Consolidation,12.5,0," $31,490.00 "
ACC-645408,Class-A,Debt Consolidation,,0," $37,026.00 "
ACC-854868,,Home Improvement,,0," $8,460.00 "
ACC-733950,Class-B,Debt Consolidation,38.2,0," $14,195.00 "
ACC-801893,Class-A,Home Improvement,24.8,0," $25,060.00 "
ACC-949242,Class-A,Small Business,99.9,1," $10,109.00 "
ACC-523257,Class-B,Debt Consolidation,99.9,0," $26,429.00 "
ACC-952216,Class-A,Home Improvement,12.5,0," $37,012.00 "
ACC-584581,Class-A,Debt Consolidation,55.0,0," $33,029.00 "
ACC-921002,Class-B,Small Business,12.5,0," $6,029.00 "
ACC-100229,Class-B,Home Improvement,-1.5,1," $39,779.00 "
ACC-295041,Class-B,Debt Consolidation,,0," $6,826.00 "
ACC-234458,Class-B,Home Improvement,12.5,0," $30,463.00 "
ACC-912963,Class-C,Small Business,24.8,0," $20,330.00 "
ACC-956919,Class-A,Debt Consolidation,12.5,0," $26,044.00 "
ACC-178464,Class-A,Debt Consolidation,12.5,0," $19,067.00 "
ACC-826800,Class-B,Home Improvement,24.8,0," $13,584.00 "
ACC-386827,Class-B,Debt Consolidation,12.5,0," $34,572.00 "
ACC-808275,Class-C,Debt Consolidation,24.8,0," $15,034.00 "
ACC-913536,Class-A,Home Improvement,12.5,0," $43,433.00 "
ACC-432460,Class-A,Home Improvement,12.5,1," $8,882.00 "
ACC-930562,Class-A,N/A,24.8,0," $31,026.00 "
ACC-586475,Class-A,Debt Consolidation,55.0,0," $26,538.00 "
ACC-710580,Class-B,Small Business,12.5,1," $19,063.00 "
ACC-821681,Class-C,Debt Consolidation,,0," $33,912.00 "
ACC-425642,Class-A,Major Purchase,38.2,0," $39,944.00 "
