Flight_ID,Airline_Name,Destinations_Hub,Delay_Minutes
FLI-1212,Indigo,Kolkata_CCU,12
FLI-8063,Indigo,delhi_DEL,26
FLI-7793,Indigo,Kolkata_CCU,12
FLI-3177,Indigo,Kolkata_CCU,12
FLI-3259,Indigo,Bengaluru_BLR,12
FLI-8239,Vistara,Bengaluru_BLR,12
FLI-5404,Akasa Air,delhi_DEL,26
FLI-7841,Indigo,delhi_DEL,12
FLI-1840,Vistara,Bengaluru_BLR,12
FLI-8515,Indigo,delhi_DEL,12
FLI-6060,Vistara,Mumbai_BOM,12
FLI-3129,Vistara,Bengaluru_BLR,12
FLI-3656,Indigo,Mumbai_BOM,12
FLI-8266,Air India,delhi_DEL,12
FLI-3623,Air India,delhi_DEL,12
FLI-2728,Indigo,delhi_DEL,12
FLI-2657,Air India,Bengaluru_BLR,26
FLI-4806,Air India,delhi_DEL,12
FLI-5618,Air India,Mumbai_BOM,12
FLI-4675,Indigo,delhi_DEL,12
FLI-4361,Air India,Mumbai_BOM,12
FLI-8404,Akasa Air,delhi_DEL,26
FLI-5305,Air India,delhi_DEL,26
FLI-4716,Air India,Mumbai_BOM,12
FLI-9654,Indigo,Mumbai_BOM,12
FLI-4011,Indigo,Mumbai_BOM,12
FLI-8134,Indigo,Mumbai_BOM,26
FLI-3750,Indigo,Bengaluru_BLR,12
FLI-6003,Air India,delhi_DEL,26
FLI-6027,Air India,Mumbai_BOM,12
FLI-4434,Indigo,delhi_DEL,12
FLI-1928,Indigo,delhi_DEL,12
FLI-7782,Indigo,Mumbai_BOM,26
FLI-5125,Air India,Mumbai_BOM,12
FLI-8847,Akasa Air,Mumbai_BOM,-5
FLI-7346,Vistara,delhi_DEL,12
FLI-8724,Indigo,Bengaluru_BLR,12
FLI-7754,Indigo,Bengaluru_BLR,26
FLI-6103,Air India,delhi_DEL,12
FLI-3784,Air India,Kolkata_CCU,12
FLI-6368,Air India,Kolkata_CCU,12
FLI-3523,Air India,delhi_DEL,26
FLI-7617,Indigo,Kolkata_CCU,12
FLI-4957,Akasa Air,delhi_DEL,26
FLI-9384,Vistara,Bengaluru_BLR,12
FLI-7260,Air India,delhi_DEL,12
FLI-8010,Indigo,delhi_DEL,12
FLI-5755,Vistara,Bengaluru_BLR,12
FLI-7037,Indigo,delhi_DEL,26
FLI-1022,Air India,delhi_DEL,12
FLI-6919,Indigo,Kolkata_CCU,12
FLI-2818,Akasa Air,delhi_DEL,12
FLI-8078,Air India,Mumbai_BOM,12
FLI-8708,Indigo,Bengaluru_BLR,-5
FLI-9770,Akasa Air,delhi_DEL,12
FLI-4809,Akasa Air,Kolkata_CCU,26
FLI-2870,Indigo,Bengaluru_BLR,26
FLI-4359,Indigo,Mumbai_BOM,12
FLI-6574,Indigo,Kolkata_CCU,12
FLI-4873,Indigo,Mumbai_BOM,12
FLI-6708,Air India,delhi_DEL,12
FLI-7377,Indigo,Mumbai_BOM,12
FLI-2224,Indigo,Kolkata_CCU,12
FLI-1351,Indigo,Bengaluru_BLR,26
FLI-5847,Indigo,delhi_DEL,12
FLI-5390,Air India,Kolkata_CCU,26
FLI-6641,Air India,Mumbai_BOM,12
FLI-6806,Indigo,delhi_DEL,12
FLI-8528,Akasa Air,Bengaluru_BLR,26
FLI-5352,Indigo,Kolkata_CCU,12
FLI-5335,Indigo,Mumbai_BOM,26
FLI-1554,Indigo,delhi_DEL,12
FLI-6067,Air India,delhi_DEL,12
FLI-3240,Air India,Kolkata_CCU,26
FLI-3700,Indigo,Kolkata_CCU,12
FLI-9081,Vistara,Kolkata_CCU,26
FLI-2170,Vistara,Mumbai_BOM,26
FLI-2616,Indigo,delhi_DEL,12
FLI-2240,Akasa Air,delhi_DEL,26
FLI-5617,Indigo,Kolkata_CCU,12
FLI-9028,Indigo,Kolkata_CCU,12
FLI-8610,Air India,Bengaluru_BLR,-5
FLI-9193,Vistara,Mumbai_BOM,12
FLI-1931,Indigo,Bengaluru_BLR,12
FLI-5595,Air India,Mumbai_BOM,12
FLI-6621,Air India,Mumbai_BOM,12
FLI-7218,Vistara,Mumbai_BOM,12
FLI-7841,Akasa Air,delhi_DEL,-5
FLI-6386,Indigo,Bengaluru_BLR,12
FLI-9402,Indigo,Bengaluru_BLR,12
FLI-1001,Indigo,delhi_DEL,26
FLI-8806,Air India,delhi_DEL,12
FLI-6326,Akasa Air,delhi_DEL,26
FLI-3025,Air India,Kolkata_CCU,12
FLI-9583,Air India,delhi_DEL,12
FLI-5338,Vistara,Kolkata_CCU,12
FLI-5824,Indigo,Bengaluru_BLR,-5
FLI-2585,Vistara,delhi_DEL,12
FLI-1839,Air India,Bengaluru_BLR,12
FLI-4481,Vistara,Kolkata_CCU,26
FLI-6020,Indigo,delhi_DEL,12
FLI-3873,Akasa Air,Bengaluru_BLR,12
FLI-5107,Indigo,Kolkata_CCU,-5
FLI-2176,Indigo,Bengaluru_BLR,12
FLI-1225,Indigo,Mumbai_BOM,12
FLI-3514,Vistara,delhi_DEL,12
FLI-1115,Indigo,Mumbai_BOM,12
FLI-4683,Air India,Kolkata_CCU,-5
FLI-8537,Akasa Air,Mumbai_BOM,12
FLI-5054,Indigo,Bengaluru_BLR,12
FLI-8144,Vistara,Mumbai_BOM,12
FLI-4971,Air India,Mumbai_BOM,26
FLI-1837,Indigo,Kolkata_CCU,12
FLI-8418,Indigo,delhi_DEL,12
FLI-3925,Vistara,Mumbai_BOM,12
FLI-3631,Indigo,delhi_DEL,12
FLI-1406,Air India,Mumbai_BOM,12
FLI-2103,Indigo,delhi_DEL,-5
FLI-2606,Indigo,Kolkata_CCU,26
FLI-8266,Vistara,Mumbai_BOM,12
FLI-8667,Akasa Air,delhi_DEL,12
FLI-8595,Indigo,delhi_DEL,26
FLI-2064,Air India,Mumbai_BOM,12
FLI-5561,Vistara,delhi_DEL,26
FLI-9752,Indigo,delhi_DEL,12
FLI-8169,Indigo,Mumbai_BOM,-5
FLI-8462,Vistara,Bengaluru_BLR,26
FLI-6988,Akasa Air,Kolkata_CCU,12
FLI-7948,Air India,Mumbai_BOM,12
FLI-7700,Vistara,delhi_DEL,26
FLI-1121,Indigo,delhi_DEL,26
FLI-1790,Indigo,Bengaluru_BLR,12
FLI-9911,Air India,delhi_DEL,12
FLI-2365,Vistara,Bengaluru_BLR,12
FLI-9038,Indigo,delhi_DEL,12
FLI-9375,Indigo,delhi_DEL,26
FLI-4448,Vistara,Kolkata_CCU,12
FLI-7402,Indigo,delhi_DEL,26
FLI-3296,Indigo,delhi_DEL,12
FLI-7926,Indigo,Mumbai_BOM,26
FLI-1837,Indigo,delhi_DEL,12
FLI-7611,Akasa Air,Kolkata_CCU,26
FLI-9588,Indigo,Mumbai_BOM,-5
FLI-4140,Indigo,Bengaluru_BLR,12
FLI-6317,Air India,Mumbai_BOM,26
FLI-4046,Indigo,Mumbai_BOM,12
FLI-7767,Indigo,delhi_DEL,12
FLI-6571,Indigo,delhi_DEL,12
FLI-9002,Indigo,Mumbai_BOM,12
FLI-7199,Air India,Mumbai_BOM,-5
FLI-3763,Vistara,Kolkata_CCU,12
FLI-6486,Vistara,Mumbai_BOM,12
FLI-3522,Akasa Air,Mumbai_BOM,26
FLI-9066,Air India,Kolkata_CCU,26
FLI-2607,Air India,delhi_DEL,12
FLI-6127,Akasa Air,Mumbai_BOM,12
FLI-3505,Indigo,Mumbai_BOM,12
FLI-6894,Indigo,Bengaluru_BLR,12
FLI-5288,Indigo,Mumbai_BOM,12
FLI-8858,Vistara,Mumbai_BOM,26
FLI-9053,Air India,delhi_DEL,12
FLI-6758,Akasa Air,Mumbai_BOM,12
FLI-4982,Indigo,Mumbai_BOM,12
FLI-5207,Vistara,Bengaluru_BLR,12
FLI-9351,Indigo,Mumbai_BOM,12
FLI-6667,Vistara,Bengaluru_BLR,12
FLI-3316,Indigo,Mumbai_BOM,26
FLI-5304,Indigo,Mumbai_BOM,12
FLI-1628,Indigo,Mumbai_BOM,26
FLI-8172,Indigo,delhi_DEL,-5
FLI-4009,Indigo,delhi_DEL,26
FLI-2852,Indigo,Bengaluru_BLR,26
FLI-2979,Akasa Air,Kolkata_CCU,12
FLI-7004,Indigo,Bengaluru_BLR,12
FLI-9573,Indigo,Bengaluru_BLR,12
FLI-2532,Indigo,delhi_DEL,12
FLI-4425,Indigo,Kolkata_CCU,12
FLI-9665,Indigo,delhi_DEL,-5
FLI-2203,Air India,delhi_DEL,12
FLI-1243,Indigo,Bengaluru_BLR,12
FLI-4765,Air India,Bengaluru_BLR,12
FLI-1101,Air India,Mumbai_BOM,26
FLI-9613,Vistara,Kolkata_CCU,12
FLI-8457,Vistara,Bengaluru_BLR,12
FLI-5129,Air India,Kolkata_CCU,12
FLI-7170,Vistara,delhi_DEL,26
FLI-2485,Air India,Bengaluru_BLR,12
FLI-7225,Air India,Kolkata_CCU,26
FLI-2689,Air India,Bengaluru_BLR,12
FLI-6761,Indigo,Mumbai_BOM,12
FLI-6730,Air India,Mumbai_BOM,26
FLI-1654,Akasa Air,Bengaluru_BLR,12
FLI-7066,Vistara,Kolkata_CCU,12
FLI-4851,Air India,delhi_DEL,12
FLI-1969,Indigo,Mumbai_BOM,12
FLI-6832,Indigo,Mumbai_BOM,12
FLI-9825,Vistara,delhi_DEL,12
FLI-4902,Air India,delhi_DEL,12
FLI-1608,Indigo,delhi_DEL,12
FLI-4262,Akasa Air,Mumbai_BOM,26
FLI-7113,Air India,Mumbai_BOM,12
FLI-8764,Air India,Mumbai_BOM,26
FLI-6341,Air India,delhi_DEL,12
FLI-9713,Indigo,delhi_DEL,12
FLI-1520,Akasa Air,Mumbai_BOM,12
FLI-5925,Indigo,delhi_DEL,12
FLI-3195,Vistara,Mumbai_BOM,12
FLI-6669,Air India,delhi_DEL,12
FLI-7508,Indigo,Mumbai_BOM,12
FLI-3627,Air India,Mumbai_BOM,12
FLI-9747,Indigo,Mumbai_BOM,12
FLI-2038,Indigo,Mumbai_BOM,12
FLI-3289,Akasa Air,Mumbai_BOM,12
FLI-5084,Indigo,delhi_DEL,26
FLI-3694,Air India,Bengaluru_BLR,12
FLI-5927,Indigo,Mumbai_BOM,12
FLI-2127,Indigo,Bengaluru_BLR,12
FLI-4180,Vistara,Bengaluru_BLR,12
FLI-5146,Air India,Kolkata_CCU,12
FLI-5640,Indigo,Bengaluru_BLR,12
FLI-5466,Air India,delhi_DEL,12
FLI-2597,Indigo,delhi_DEL,12
FLI-1962,Indigo,delhi_DEL,26
FLI-6320,Indigo,delhi_DEL,26
FLI-5924,Akasa Air,Bengaluru_BLR,12
FLI-3017,Indigo,delhi_DEL,12
FLI-7622,Akasa Air,delhi_DEL,-5
FLI-8756,Indigo,delhi_DEL,12
FLI-3874,Air India,delhi_DEL,12
FLI-2127,Indigo,delhi_DEL,12
FLI-6565,Air India,Mumbai_BOM,12
FLI-3727,Indigo,Bengaluru_BLR,12
FLI-1547,Akasa Air,delhi_DEL,12
FLI-5086,Air India,delhi_DEL,26
FLI-2534,Indigo,delhi_DEL,12
FLI-5837,Indigo,delhi_DEL,12
FLI-5188,Indigo,delhi_DEL,12
FLI-6194,Air India,delhi_DEL,12
FLI-3035,Akasa Air,Mumbai_BOM,12
FLI-4233,Air India,delhi_DEL,12
FLI-9928,Indigo,delhi_DEL,12
FLI-3962,Akasa Air,delhi_DEL,12
FLI-9551,Air India,delhi_DEL,12
FLI-9815,Indigo,Mumbai_BOM,26
FLI-2471,Indigo,delhi_DEL,12
FLI-3305,Air India,Mumbai_BOM,12
FLI-2429,Indigo,delhi_DEL,12
FLI-5806,Akasa Air,Mumbai_BOM,12
FLI-8282,Indigo,Kolkata_CCU,12
FLI-4190,Indigo,Mumbai_BOM,12
FLI-6124,Air India,Bengaluru_BLR,12
FLI-3554,Air India,Mumbai_BOM,12
FLI-8149,Indigo,Bengaluru_BLR,12
FLI-7219,Vistara,Mumbai_BOM,12
FLI-4428,Air India,Mumbai_BOM,12
FLI-5533,Indigo,delhi_DEL,26
FLI-7810,Indigo,Bengaluru_BLR,26
FLI-4708,Indigo,Kolkata_CCU,12
FLI-1221,Vistara,Kolkata_CCU,12
FLI-1124,Vistara,delhi_DEL,12
FLI-3084,Air India,Bengaluru_BLR,26
FLI-9214,Vistara,Mumbai_BOM,12
FLI-2341,Indigo,Kolkata_CCU,12
FLI-3707,Air India,delhi_DEL,12
FLI-7532,Vistara,delhi_DEL,12
FLI-9096,Indigo,Bengaluru_BLR,26
FLI-1188,Akasa Air,Bengaluru_BLR,12
FLI-8839,Air India,Kolkata_CCU,26
FLI-1851,Air India,delhi_DEL,12
FLI-7085,Vistara,delhi_DEL,12
FLI-4230,Indigo,delhi_DEL,12
FLI-9044,Vistara,Bengaluru_BLR,12
FLI-5285,Indigo,delhi_DEL,12
FLI-2592,Akasa Air,Bengaluru_BLR,26
FLI-7683,Vistara,delhi_DEL,12
FLI-4768,Akasa Air,Bengaluru_BLR,26
FLI-4281,Air India,Kolkata_CCU,-5
FLI-6722,Air India,delhi_DEL,26
FLI-3230,Vistara,Mumbai_BOM,12
FLI-5930,Indigo,delhi_DEL,26
FLI-2605,Air India,delhi_DEL,12
FLI-2710,Air India,Bengaluru_BLR,12
FLI-9542,Air India,Mumbai_BOM,12
FLI-7709,Air India,delhi_DEL,26
FLI-6668,Indigo,Kolkata_CCU,12
FLI-8302,Akasa Air,Mumbai_BOM,12
FLI-4665,Vistara,Kolkata_CCU,12
FLI-9373,Air India,Mumbai_BOM,12
FLI-5118,Air India,Mumbai_BOM,12
FLI-8482,Indigo,Kolkata_CCU,12
FLI-6105,Vistara,Bengaluru_BLR,12
FLI-4438,Indigo,Bengaluru_BLR,26
FLI-9482,Akasa Air,Bengaluru_BLR,26
FLI-8762,Vistara,delhi_DEL,26
FLI-3974,Air India,delhi_DEL,12
FLI-4022,Indigo,Bengaluru_BLR,12
FLI-8483,Vistara,delhi_DEL,12
FLI-3396,Air India,Mumbai_BOM,12
FLI-9478,Air India,Kolkata_CCU,12
FLI-8724,Air India,Mumbai_BOM,12
FLI-8691,Air India,Bengaluru_BLR,12
FLI-3972,Vistara,Bengaluru_BLR,12
FLI-8445,Akasa Air,Mumbai_BOM,12
FLI-1047,Air India,Mumbai_BOM,12
FLI-8895,Air India,Mumbai_BOM,26
FLI-3155,Vistara,delhi_DEL,26
FLI-2983,Air India,Mumbai_BOM,12
FLI-4310,Akasa Air,delhi_DEL,12
FLI-5383,Indigo,Kolkata_CCU,12
FLI-3624,Indigo,Bengaluru_BLR,12
FLI-1982,Indigo,Mumbai_BOM,12
FLI-8892,Indigo,Bengaluru_BLR,12
FLI-3364,Indigo,Mumbai_BOM,-5
FLI-2562,Indigo,Bengaluru_BLR,12
FLI-9847,Air India,Kolkata_CCU,-5
FLI-2103,Vistara,Bengaluru_BLR,12
FLI-4676,Indigo,delhi_DEL,12
FLI-4193,Vistara,delhi_DEL,12
FLI-5352,Vistara,Mumbai_BOM,12
FLI-9749,Indigo,delhi_DEL,26
FLI-8445,Indigo,Bengaluru_BLR,12
FLI-3115,Air India,Mumbai_BOM,12
FLI-6814,Indigo,delhi_DEL,12
FLI-4048,Vistara,Bengaluru_BLR,12
FLI-9441,Indigo,Mumbai_BOM,12
FLI-2671,Air India,delhi_DEL,12
FLI-2582,Indigo,Kolkata_CCU,12
FLI-9455,Air India,Mumbai_BOM,12
FLI-6662,Indigo,Bengaluru_BLR,12
FLI-9357,Indigo,Kolkata_CCU,12
FLI-2862,Indigo,delhi_DEL,12
FLI-5398,Air India,Kolkata_CCU,26
FLI-9133,Indigo,Mumbai_BOM,12
FLI-3584,Vistara,Bengaluru_BLR,12
FLI-1484,Indigo,Mumbai_BOM,26
FLI-3927,Air India,delhi_DEL,26
FLI-7311,Air India,delhi_DEL,12
FLI-9300,Air India,Kolkata_CCU,12
FLI-3162,Air India,Kolkata_CCU,12
FLI-1747,Indigo,delhi_DEL,12
FLI-9321,Vistara,Mumbai_BOM,12
FLI-3519,Vistara,delhi_DEL,12
FLI-2020,Air India,delhi_DEL,12
FLI-5393,Indigo,Bengaluru_BLR,26
FLI-6312,Indigo,delhi_DEL,12
FLI-9649,Vistara,delhi_DEL,12
FLI-7608,Indigo,delhi_DEL,12
FLI-3691,Akasa Air,Kolkata_CCU,26
FLI-8879,Indigo,Kolkata_CCU,26
FLI-9837,Vistara,Kolkata_CCU,12
FLI-6924,Indigo,Kolkata_CCU,12
FLI-1882,Akasa Air,Kolkata_CCU,12
FLI-1863,Air India,Bengaluru_BLR,12
FLI-3172,Indigo,delhi_DEL,12
FLI-9116,Indigo,delhi_DEL,12
FLI-3797,Air India,delhi_DEL,12
FLI-7778,Vistara,Bengaluru_BLR,-5
FLI-9901,Vistara,Bengaluru_BLR,26
FLI-7018,Indigo,delhi_DEL,26
FLI-7674,Indigo,Mumbai_BOM,12
FLI-4747,Indigo,Mumbai_BOM,12
FLI-8978,Vistara,Mumbai_BOM,12
FLI-4619,Indigo,delhi_DEL,26
FLI-3626,Indigo,Bengaluru_BLR,12
FLI-7866,Vistara,Mumbai_BOM,12
FLI-7831,Indigo,Mumbai_BOM,26
FLI-1887,Air India,Mumbai_BOM,12
FLI-8463,Indigo,delhi_DEL,12
FLI-7832,Vistara,Kolkata_CCU,12
FLI-9655,Indigo,Bengaluru_BLR,12
FLI-6593,Air India,Kolkata_CCU,12
FLI-6013,Air India,Mumbai_BOM,12
FLI-4654,Akasa Air,Kolkata_CCU,12
FLI-8180,Vistara,delhi_DEL,26
FLI-1354,Akasa Air,Kolkata_CCU,12
FLI-7298,Vistara,delhi_DEL,12
FLI-9299,Indigo,Mumbai_BOM,26
FLI-3609,Akasa Air,Bengaluru_BLR,26
FLI-4772,Indigo,delhi_DEL,12
FLI-4632,Indigo,delhi_DEL,26
FLI-1242,Air India,delhi_DEL,12
FLI-6990,Vistara,Mumbai_BOM,26
FLI-1902,Vistara,Mumbai_BOM,12
FLI-3186,Air India,Bengaluru_BLR,12
FLI-8025,Indigo,Bengaluru_BLR,12
FLI-9299,Akasa Air,Mumbai_BOM,12
FLI-7487,Indigo,Bengaluru_BLR,12
FLI-4564,Vistara,Kolkata_CCU,12
FLI-8161,Vistara,Bengaluru_BLR,12
FLI-5458,Indigo,Mumbai_BOM,26
FLI-9109,Air India,Mumbai_BOM,26
FLI-7439,Vistara,Kolkata_CCU,26
FLI-9070,Indigo,Bengaluru_BLR,26
FLI-1602,Vistara,Mumbai_BOM,12
FLI-8860,Indigo,Bengaluru_BLR,12
FLI-1618,Vistara,delhi_DEL,26
FLI-3112,Vistara,Mumbai_BOM,12
FLI-8838,Indigo,delhi_DEL,12
FLI-5078,Air India,delhi_DEL,12
FLI-2399,Indigo,Kolkata_CCU,12
FLI-5148,Indigo,Kolkata_CCU,12
FLI-7680,Indigo,Bengaluru_BLR,26
FLI-6808,Vistara,delhi_DEL,12
FLI-9834,Akasa Air,delhi_DEL,-5
FLI-9695,Indigo,Mumbai_BOM,12
FLI-3728,Vistara,Kolkata_CCU,12
FLI-4928,Air India,Mumbai_BOM,26
FLI-6038,Indigo,delhi_DEL,12
FLI-2667,Air India,Mumbai_BOM,12
FLI-9719,Akasa Air,Mumbai_BOM,12
FLI-6889,Indigo,delhi_DEL,26
FLI-7731,Air India,Mumbai_BOM,12
FLI-2043,Indigo,Bengaluru_BLR,12
FLI-2153,Indigo,Kolkata_CCU,12
FLI-7146,Air India,Bengaluru_BLR,12
FLI-5854,Indigo,Bengaluru_BLR,12
FLI-5209,Indigo,delhi_DEL,12
FLI-1013,Air India,delhi_DEL,26
FLI-4712,Akasa Air,delhi_DEL,12
FLI-2472,Indigo,Kolkata_CCU,12
FLI-6762,Indigo,Mumbai_BOM,12
FLI-5631,Indigo,delhi_DEL,26
FLI-4460,Indigo,Bengaluru_BLR,12
FLI-6413,Indigo,Mumbai_BOM,12
FLI-1536,Indigo,Mumbai_BOM,12
FLI-3561,Akasa Air,Mumbai_BOM,26
FLI-9341,Indigo,delhi_DEL,12
FLI-1778,Indigo,Mumbai_BOM,12
FLI-9060,Akasa Air,Mumbai_BOM,26
FLI-2030,Air India,Mumbai_BOM,26
FLI-3768,Akasa Air,Mumbai_BOM,12
FLI-1440,Indigo,Mumbai_BOM,12
FLI-6116,Air India,delhi_DEL,26
FLI-9289,Indigo,Mumbai_BOM,12
FLI-5153,Air India,delhi_DEL,26
FLI-2101,Indigo,delhi_DEL,12
FLI-3576,Indigo,delhi_DEL,26
FLI-4102,Air India,Mumbai_BOM,12
FLI-4706,Indigo,delhi_DEL,26
FLI-6162,Indigo,Mumbai_BOM,26
FLI-6131,Indigo,delhi_DEL,12
FLI-5750,Indigo,delhi_DEL,12
FLI-8080,Indigo,Mumbai_BOM,12
FLI-7272,Indigo,delhi_DEL,12
FLI-4393,Indigo,Mumbai_BOM,26
FLI-2874,Air India,delhi_DEL,26
FLI-6798,Air India,Mumbai_BOM,12
FLI-2943,Akasa Air,delhi_DEL,12
FLI-2442,Air India,Bengaluru_BLR,26
FLI-8597,Air India,Bengaluru_BLR,12
FLI-5792,Akasa Air,Bengaluru_BLR,12
FLI-3223,Indigo,Mumbai_BOM,26
FLI-1094,Indigo,Mumbai_BOM,12
FLI-4151,Akasa Air,Mumbai_BOM,12
FLI-5194,Vistara,delhi_DEL,12
FLI-1395,Indigo,delhi_DEL,-5
FLI-4925,Indigo,Mumbai_BOM,26
FLI-4179,Air India,Kolkata_CCU,26
FLI-4672,Vistara,Mumbai_BOM,12
FLI-1052,Indigo,delhi_DEL,12
FLI-9805,Air India,Bengaluru_BLR,26
FLI-4276,Air India,Mumbai_BOM,12
FLI-7128,Air India,Mumbai_BOM,26
FLI-1418,Indigo,Mumbai_BOM,12
FLI-4982,Indigo,Bengaluru_BLR,26
FLI-7894,Indigo,Bengaluru_BLR,12
FLI-2237,Indigo,Bengaluru_BLR,12
FLI-9803,Vistara,delhi_DEL,12
FLI-8845,Indigo,Mumbai_BOM,12
FLI-7126,Indigo,Bengaluru_BLR,12
FLI-7850,Vistara,Kolkata_CCU,12
FLI-7432,Indigo,Bengaluru_BLR,26
FLI-2312,Indigo,Mumbai_BOM,12
FLI-8189,Indigo,Kolkata_CCU,26
FLI-9516,Vistara,Mumbai_BOM,12
FLI-2297,Vistara,Mumbai_BOM,12
FLI-1824,Air India,Kolkata_CCU,26
FLI-3353,Indigo,Mumbai_BOM,12
FLI-1231,Air India,delhi_DEL,12
FLI-1652,Indigo,Kolkata_CCU,12
FLI-2946,Indigo,Mumbai_BOM,12
FLI-2417,Indigo,Bengaluru_BLR,12
FLI-4742,Akasa Air,Bengaluru_BLR,12
FLI-7084,Vistara,delhi_DEL,12
FLI-2252,Indigo,Mumbai_BOM,12
FLI-4506,Air India,delhi_DEL,12
FLI-2613,Indigo,Kolkata_CCU,12
FLI-1728,Air India,delhi_DEL,12
FLI-2423,Air India,Bengaluru_BLR,12
FLI-9338,Indigo,Bengaluru_BLR,12
FLI-1908,Vistara,Kolkata_CCU,12
FLI-3463,Air India,Bengaluru_BLR,12
FLI-3732,Akasa Air,Kolkata_CCU,26
FLI-9094,Vistara,Mumbai_BOM,26
FLI-9987,Vistara,Mumbai_BOM,26
FLI-1053,Air India,Mumbai_BOM,26
FLI-7963,Indigo,delhi_DEL,12
FLI-8953,Indigo,Kolkata_CCU,12
FLI-5666,Indigo,delhi_DEL,12
FLI-4758,Indigo,Bengaluru_BLR,12
FLI-3685,Air India,Mumbai_BOM,26
FLI-7668,Vistara,delhi_DEL,12
FLI-6952,Indigo,delhi_DEL,12
FLI-7582,Vistara,Kolkata_CCU,12
FLI-9623,Vistara,delhi_DEL,12
FLI-3895,Indigo,delhi_DEL,12
FLI-3231,Indigo,Mumbai_BOM,12
FLI-9980,Indigo,Bengaluru_BLR,12
FLI-5325,Indigo,Kolkata_CCU,26
FLI-8670,Akasa Air,delhi_DEL,12
FLI-8435,Vistara,Kolkata_CCU,12
