Employee_ID,Job_Title,Department,Years_Experience,Performance_Tier,Annual_Salary_USD
EMP-35038,Software Engineer,Engineering,3.0,Level-1 (Low),112120.98568611483
EMP-66023,data analyst,Engineering,35.0,Level-2 (Medium),114628.5354107911
EMP-77022,data analyst,Finance,12.0,Level-2 (Medium),129580.92504775681
EMP-28966,Software Engineer,Marketing,,Level-2 (Medium),39343.65171036053
EMP-15545,software engineer,Engineering,35.0,Level-1 (Low),161159.29360971504
EMP-61355,Data Analyst,N/A,1.0,Level-2 (Medium),158210.3292419296
EMP-24779,  Manager  ,Engineering,12.0,Level-2 (Medium),119812.18889570134
EMP-18439,Software Engineer,Marketing,5.0,Level-1 (Low),180473.21882718144
EMP-52262,software engineer,Finance,12.0,Level-3 (High),168329.22977507758
EMP-22192,SOFTWARE ENGINEER,Engineering,,Level-3 (High),102378.22370446347
EMP-54059,data analyst,Engineering,1.0,Level-1 (Low),61747.078717853314
EMP-57267,Software Engineer,N/A,12.0,Level-2 (Medium),163470.11527349433
EMP-33290,SOFTWARE ENGINEER,Engineering,8.0,Level-2 (Medium),63816.73762448843
EMP-20245,data analyst,Engineering,8.0,Level-3 (High),31150.43244816132
EMP-69321,data analyst,Human Resources,8.0,Level-3 (High),181019.50357759165
EMP-77835,Software Engineer,Engineering,1.0,Level-2 (Medium),99654.94183866038
EMP-61145,software engineer,Engineering,1.0,Level-1 (Low),92510.70979819744
EMP-28403,Software Engineer,Engineering,5.0,Level-1 (Low),80981.98650991335
EMP-62734,,Human Resources,8.0,Level-3 (High),
EMP-41610,  Manager  ,Engineering,8.0,MISSING,52943.18514417629
EMP-56517,,Engineering,35.0,Level-1 (Low),
EMP-17497,Software Engineer,N/A,8.0,Level-3 (High),72816.96665627301
EMP-97076,Software Engineer,Finance,1.0,MISSING,111056.59850842347
EMP-98350,Project Manager,Finance,12.0,Level-3 (High),164438.80463627772
EMP-73473,Software Engineer,Engineering,1.0,Level-1 (Low),178575.73950042675
EMP-26225,SOFTWARE ENGINEER,N/A,3.0,Level-2 (Medium),80302.76972119237
EMP-98503,Data Analyst,Engineering,8.0,Level-2 (Medium),143367.12508323105
EMP-42118,Project Manager,Marketing,35.0,Level-3 (High),68860.4453328859
EMP-27731,Software Engineer,Engineering,3.0,Level-3 (High),31077.10646999518
EMP-82144,Data Analyst,Human Resources,3.0,Level-2 (Medium),30631.704323453003
EMP-80698,software engineer,Human Resources,8.0,Level-3 (High),38746.93220166842
EMP-56364,Data Analyst,Finance,5.0,Level-2 (Medium),128553.3937942184
EMP-92913,Data Analyst,Finance,5.0,MISSING,183966.7964635483
EMP-26587,,Engineering,99.0,Level-2 (Medium),
EMP-54991,Software Engineer,Engineering,3.0,Level-2 (Medium),182953.2998054167
EMP-67749,SOFTWARE ENGINEER,Human Resources,1.0,Level-3 (High),54200.72472225721
EMP-55040,software engineer,Marketing,12.0,Level-2 (Medium),88047.6365264164
EMP-56745,software engineer,Finance,3.0,Level-1 (Low),46284.93111463163
EMP-32489,Data Analyst,Engineering,1.0,Level-3 (High),128311.37231134923
EMP-25859,software engineer,Finance,5.0,Level-2 (Medium),124189.77375275326
EMP-98809,Project Manager,Engineering,8.0,Level-1 (Low),158231.11709827647
EMP-13574,Software Engineer,Engineering,8.0,Level-2 (Medium),66362.24536164533
EMP-58425,data analyst,Finance,-2.0,Level-2 (Medium),110643.26517663513
EMP-18388,Project Manager,Engineering,1.0,Level-3 (High),44856.01558861521
EMP-88651,Data Analyst,Engineering,8.0,Level-1 (Low),28451.677324135344
EMP-94207,Software Engineer,N/A,5.0,Level-2 (Medium),153745.0723499325
EMP-31532,  Manager  ,Finance,8.0,Level-2 (Medium),116962.56522213963
EMP-92441,Software Engineer,Engineering,8.0,Level-2 (Medium),127319.12090881559
EMP-26086,software engineer,Finance,-2.0,Level-3 (High),64140.022496309844
EMP-25180,Data Analyst,Marketing,8.0,MISSING,88287.832332983
EMP-20039,Data Analyst,Engineering,8.0,Level-3 (High),130513.4991320549
EMP-68316,Project Manager,Finance,5.0,Level-3 (High),152370.42416232603
EMP-50007,Project Manager,Engineering,3.0,Level-2 (Medium),117873.71276163161
EMP-22218,Data Analyst,Finance,1.0,Level-2 (Medium),90399.86541153322
EMP-49221,Project Manager,Finance,1.0,Level-3 (High),183479.6180202763
EMP-50025,software engineer,Marketing,8.0,Level-2 (Medium),143679.87271063047
EMP-23853,Data Analyst,Finance,8.0,Level-1 (Low),99651.53247465809
EMP-88413,Project Manager,Engineering,12.0,Level-2 (Medium),164210.846458184
EMP-46628,Software Engineer,N/A,8.0,Level-2 (Medium),64285.581577679346
EMP-13594,software engineer,Marketing,35.0,Level-3 (High),47946.18028683653
EMP-27940,,Human Resources,35.0,Level-3 (High),
EMP-79707,Data Analyst,Finance,8.0,Level-2 (Medium),39034.327879754754
EMP-43206,Software Engineer,Marketing,,Level-2 (Medium),145359.31574298145
EMP-62371,Software Engineer,Marketing,1.0,Level-2 (Medium),98443.1333526701
EMP-39336,data analyst,Engineering,35.0,Level-1 (Low),138666.53107900254
EMP-51740,software engineer,Finance,12.0,MISSING,49855.743052460704
EMP-68456,Data Analyst,Engineering,1.0,MISSING,81323.27667937957
EMP-51019,software engineer,Human Resources,5.0,Level-3 (High),140004.53778435133
EMP-70089,Data Analyst,Human Resources,1.0,MISSING,180189.53447382047
EMP-35766,Software Engineer,Human Resources,5.0,Level-1 (Low),84910.29549641647
EMP-98922,Project Manager,Engineering,12.0,Level-3 (High),53316.763221028814
EMP-50196,software engineer,Finance,3.0,Level-3 (High),58721.87047098267
EMP-12112,Software Engineer,Engineering,35.0,Level-2 (Medium),76950.47795829891
EMP-19239,Data Analyst,Marketing,,Level-2 (Medium),117176.85355573935
EMP-17126,Data Analyst,Engineering,35.0,MISSING,158237.5566380199
EMP-89580,,Engineering,1.0,Level-2 (Medium),
EMP-13882,Data Analyst,Marketing,12.0,Level-1 (Low),38766.607260956254
EMP-37825,Data Analyst,Marketing,12.0,Level-2 (Medium),37583.923770975416
EMP-99042,Data Analyst,Engineering,3.0,Level-3 (High),92337.04986527572
EMP-11255,,Human Resources,3.0,Level-3 (High),
EMP-22401,Software Engineer,Finance,35.0,Level-2 (Medium),105452.86502589798
EMP-31691,Software Engineer,Marketing,5.0,Level-2 (Medium),75328.78140829041
EMP-71616,SOFTWARE ENGINEER,Human Resources,5.0,Level-3 (High),55036.725395350586
EMP-62690,Data Analyst,Engineering,8.0,Level-3 (High),39143.37438290156
EMP-54990,software engineer,Human Resources,35.0,Level-2 (Medium),94138.5717025519
EMP-70041,Data Analyst,Finance,12.0,Level-2 (Medium),39228.876289917825
EMP-84815,SOFTWARE ENGINEER,Marketing,3.0,Level-1 (Low),136313.33286257455
EMP-23855,Software Engineer,Finance,5.0,Level-3 (High),80125.30755717652
EMP-74396,Project Manager,Marketing,12.0,Level-3 (High),144903.3564733573
EMP-73134,software engineer,Marketing,35.0,Level-2 (Medium),127077.05457535884
EMP-71167,,Human Resources,5.0,Level-2 (Medium),
EMP-71274,data analyst,Finance,1.0,Level-2 (Medium),176307.8511836972
EMP-85578,Software Engineer,Engineering,3.0,Level-3 (High),36483.31983539819
EMP-58828,Data Analyst,Marketing,1.0,Level-2 (Medium),151791.13178209483
EMP-97293,data analyst,Engineering,35.0,Level-2 (Medium),99749.19469707347
EMP-24041,SOFTWARE ENGINEER,Human Resources,5.0,MISSING,147519.57596399164
EMP-14633,software engineer,Finance,1.0,Level-1 (Low),81354.8388544197
EMP-40295,Data Analyst,Engineering,5.0,Level-1 (Low),58178.633252032836
EMP-76280,Data Analyst,Human Resources,1.0,Level-3 (High),150047.1133002725
EMP-68872,Software Engineer,Marketing,35.0,Level-3 (High),114343.48861129496
EMP-46795,SOFTWARE ENGINEER,Engineering,8.0,Level-2 (Medium),149745.13571733554
EMP-82797,software engineer,Engineering,,Level-1 (Low),110376.87889715405
EMP-55409,Software Engineer,Finance,5.0,MISSING,108721.38086887455
EMP-51229,software engineer,Marketing,3.0,Level-1 (Low),97886.90165316944
EMP-33724,data analyst,Marketing,1.0,Level-2 (Medium),26592.200759631607
EMP-19253,software engineer,Finance,12.0,Level-3 (High),164096.38862424105
EMP-33822,Software Engineer,Finance,3.0,Level-2 (Medium),73135.7753712422
EMP-89019,software engineer,Engineering,8.0,Level-2 (Medium),66382.20102629172
EMP-96782,Data Analyst,Engineering,3.0,Level-2 (Medium),140392.4127059405
EMP-53917,data analyst,Human Resources,5.0,Level-2 (Medium),149690.84427237936
EMP-22192,software engineer,Finance,1.0,Level-1 (Low),163463.066362717
EMP-45735,Project Manager,Engineering,3.0,Level-3 (High),37875.174548404364
EMP-29371,Data Analyst,Marketing,3.0,Level-2 (Medium),178315.47912114338
EMP-63191,software engineer,Engineering,1.0,Level-1 (Low),89430.16906085293
EMP-74188,,Marketing,3.0,Level-2 (Medium),
